>>L<<Russian	>>L<<English
*Зарезервировано*	*Reserved*
...добавлена запись в журнал...	...Journal entry added...
13 чертей	13 Fiends
Mеню (Esc)	Menu (Esc)
Аббатство Уар	Uar Abbey
Аббатство	Abbey
Авантюрист	Adventurer
Авантюристы	Adventurers
Авенское аббатство	Aven Abbey
Автобой (Esc - отмена)	Auto Combat (Esc - Cancel)
Автобой (F11)	Auto Combat (F11)
Автобой...	Auto Combat...
Автобой	Auto-combat
Автопередача хода	Automated Turn Transfer
Автоповышение	Auto-level
Агатовый амулет	Agate Amulet
Адепт	Adept
Адрагерон	Adrageron
Адская гончая	Hellhound
Адские врата	Hellgates
Адский огонь	Hellfire
Академия Волшебства	Magic Academy
Активировать дополнительный выстрел (D)	Activate Double Shot (D)
Активировать круговую атаку (A)	Activate Round Attack (A)
Активировать лечение (H)	Activate Healing (H)
Активировать починку предметов (R)	Activate Item Repair (R)
Активировать сокрушающий удар (C)	Activate Crushing Blow (C)
Акулий остров	Shark Island
Ал	Al
Ал-Атор	Al-Athor
Алебарда	Halberd
Алиссия	Alyssia
Алмазный браслет	Diamond Bracelet
Алмазный перстень	Diamond Ring
Алтарь богини	Altar of Goddes
Алтарь Дракона	Dragon Altar
Алтарь Первоэлементов	Altar of Prime Elements
Алтарь Смерти	Altar of Death
Алтарь Хаоса	Altar of Chaos
Алтарь	Altar
Алхимия	Alchemy
Амбар	Granary
Амулет Вечности	Amulet of Ages
Амулет Гарроса	Garros's Amulet
Амулет Герскила	Herskil's Amulet
Амулет До-Гора у Белеза	Beleth has Doh-Gor's Amulet
Амулет До-Гора уничтожен	Doh-Gor's Amulet Destroyed
Амулет Кровожадности	Amulet of Bloodlust
Амулет Оинора	Oinor's Amulet
Амулет Урагана	Amulet of the Storm
Амулет экзекутора	Executioner's Amulet
Анонимус	Anonymous
Антимагия	Antimagic
Аптека	Pharmacy
Ар	Ar
Арбалет Гнева	Crossbow of Wrath
Арбалетчик	Crossbowman
Ардо	Ardo
Арена	Arena
Арены	Arenas
Арзанг	Arzang
Арканит	Arcanite
Армагеддон	Armageddon
Армада	Armada
Армия гномов	Dwarven army
Армия дроу	Drow army
Армия Хаоса	Army of Chaos
Армия Ящеров	Lizardman army
Артефакты Вечности	Artifacts of Ages
Архимаг	Archmage
Архимагистр	Archmagister
Архитектор	Architect
Ассат	Assat
Аст	Ast
Астерс	Asters
Астральная энергия	Astral Energy
Астральные врата  	Astral Gates
Астральные сапоги	Astral Boots
Астральный клинок	Astral Blade
ат	at
Атака всех врагов	Attack All Enemies
Атака с разгона	Charge
Атака	Attack
Атаковать стража (T)	Attack Guard (T)
Атаковать стража	Attack Guard
Атаковать!	Attack!
Атаман	Gang Leader
Атлетика	Athletics
атр	atre
Ахерон	Acheron
Ашш-Уххисс	Ushh-Ukhhiss
Аэнтуилл	Aentwill
Багряные кручи	Crimson Banks
Базар	Market
Базовая величина	Base Value
Базовая цена в золоте	Base Price in Gold
Базовая цена в кристаллах	Base Price in Gems
Балаган	Show Booth
Баланс	Balance
Баллиста	Ballista
Банда гноллов	Gnoll gang
Банда гоблинов	Goblin gang
Банда	Mob
Бандит	Bandit
Бандитский клан	Bandit Clan
Бандитский лук	Bandit's Bow
Бандитский схрон	Bandit's Hideout
Бандитское логово	Lair of Bandits
Бандиты	Bandits
Банк	Bank
Баньши	Banshee
Барсучьи холмы	Badger Hills
Бат	But
Башня артефактов	Tower of Artifacts
Башня Воскрешения	Tower of Restoration
Башня Гипноза	Tower of Hypnosis
Башня Знаний	Tower of Knowledge
Башня магов	Mages Tower
Башня молний	Tower of Lightning
Башня некромантов	Tower of Necromancy
Башня Ночи	Tower of Night
Башня Хаоса	Tower of Chaos
Башня	Tower
Бездельники	Idlers
Бездонные топи	Bottomless Bogs
Бездорожье	Waylessness
Безликая равнина	Faceless Plain
Безобидные	Harmless
Безумие	Insanity
Безымянный	Nameless
Бел	Bel
Белая магия	White Magic
Белез	Beleth
Белый маг	White Mage
Бера	Bera
Бердыш	Bardiche
Берег Дождей	Rain Coast
Берег Зари	Dawn Coast
Берег Русалок	Mermaid Shore
Берег Черепов	Skullcoast
Берега Медуз	Medusa Shores
Берега Надежды	Shores of Hope
Берега разбойников	Brigand Shore
Берсерк	Berserker
Бес	Imp
Бескрайняя степь	Boundless Steppe
Бесовьи болота	Impish Swamps
Беспокойное кладбище	Haunted Cemetery
Беспринципный	Unscrupulous
Бесстрашие	Fearless
Бешеный лес	Rabid Forest
Библиотека (S)	Library (S)
Библиотека	Library
Благодать	Grace
Благословение	Blessed
Благословенная кольчуга	Holy Chainmail
Благословенный Брег	Blessed Shore
Благословенный круг	Holy Circle
Благословенный щит	Holy Shield
Бледные равнины	Pale Plains
Блуждаюшие Огни	Ghostlights
Блэрг	Blarg
Бобровья падь	Beaver Folds
Богомольи луга	Mantis Meadows
Боевая секира	Battle Poleaxe
Боевой грифон	Battle Gryphon
Боевой дух	Morale
Боевой клич	Battle Cry
Боевой посох	Battle Staff
Боевой слон	War Elephant
Боевой топор	Battle Axe
Боевой чародей	Warwizard
Боевые жрецы	War Priests
Боевые перчатки	Battle Gloves
Боевые чародеи	Battlemages
Божественная месть	Divine Vengeance
Божественная печать	Divine Seal
Божественный прыжок	Divine Warp
Божественный свет	Divine Light
Бой с иллюзией	Illusionary Battle
Бойцовские бараки	Fighter Barracks
Болезнь	Diseased
Болота Василиска	Basilisk Swamps
Болота Глотунов	Swallower Swamps
Болота Легрис	Legris Swamps
Болота медуз	Medusa Swamps
Болота Призраков	Ghostly Swamps
Болота Светляков	Firefly Swamps
Болота Слёз	Swamp of Tears
Болота Терра	Terra Swamps
Болота троллей	Troll Swamps
Болота Урлов	Urlis Swamps
Болота Усопших	Swamps of the Dead
Болота	Swamps
Болотицы	Marshies
Болотная стрекоза	Swamp Dragonfly
Болотные твари	Swamp Creatures
Болотный край	Swamp Country
Болото Йарам	Yaram Swamp
Болото Червей	Maggot Swamp
Болото	Swamp
Большая брешь	Large Breach
Большая Грязь	Great Mud
Большие Бугры	Great Hursts
